Level,start_percent,effect_percent
0,100,1.1
1,100,1.11
2,100,1.12
3,100,1.13
4,100,1.14
5,100,1.15
6,100,1.16
7,100,1.17
8,100,1.18
9,100,1.19
10,100,1.2
11,100,1.21
12,100,1.22
13,100,1.23
14,100,1.24
15,100,1.25
16,100,1.26
17,100,1.27
18,100,1.28
19,100,1.29
20,100,1.3
21,100,1.31
22,100,1.32
23,100,1.33
24,100,1.34
25,100,1.35
26,100,1.36
27,100,1.37
28,100,1.38
29,100,1.39
30,100,1.4
31,100,1.41
32,100,1.42
33,100,1.43
34,100,1.44
35,100,1.45
36,100,1.46
37,100,1.47
38,100,1.48
39,100,1.49
40,100,1.5
41,100,1.51
42,100,1.52
43,100,1.53
44,100,1.54
45,100,1.55
46,100,1.56
47,100,1.57
48,100,1.58
49,100,1.59
50,100,1.6
51,100,1.61
52,100,1.62
53,100,1.63
54,100,1.64
55,100,1.65
56,100,1.66
57,100,1.67
58,100,1.68
59,100,1.69
60,100,1.7
61,100,1.71
62,100,1.72
63,100,1.73
64,100,1.74
65,100,1.75
66,100,1.76
67,100,1.77
68,100,1.78
69,100,1.79
70,100,1.8
71,100,1.81
72,100,1.82
73,100,1.83
74,100,1.84
75,100,1.85
76,100,1.86
77,100,1.87
78,100,1.88
79,100,1.89
80,100,1.9
81,100,1.91
82,100,1.92
83,100,1.93
84,100,1.94
85,100,1.95
86,100,1.96
87,100,1.97
88,100,1.98
89,100,1.99
90,100,2
91,100,2.01
92,100,2.02
93,100,2.03
94,100,2.04
95,100,2.05
96,100,2.06
97,100,2.07
98,100,2.08
99,100,2.09
100,100,2.1
101,100,2.11
102,100,2.12
103,100,2.13
104,100,2.14
105,100,2.15
106,100,2.16
107,100,2.17
108,100,2.18
109,100,2.19
110,100,2.2
111,100,2.21
112,100,2.22
113,100,2.23
114,100,2.24
115,100,2.25
116,100,2.26
117,100,2.27
118,100,2.28
119,100,2.29
120,100,2.3
121,100,2.31
122,100,2.32
123,100,2.33
124,100,2.34
125,100,2.35
126,100,2.36
127,100,2.37
128,100,2.38
129,100,2.39
130,100,2.4
131,100,2.41
132,100,2.42
133,100,2.43
134,100,2.44
135,100,2.45
136,100,2.46
137,100,2.47
138,100,2.48
139,100,2.49
140,100,2.5
141,100,2.51
142,100,2.52
143,100,2.53
144,100,2.54
145,100,2.55
146,100,2.56
147,100,2.57
148,100,2.58
149,100,2.59
150,100,2.6
151,100,2.61
152,100,2.62
153,100,2.63
154,100,2.64
155,100,2.65
156,100,2.66
157,100,2.67
158,100,2.68
159,100,2.69
160,100,2.7
161,100,2.71
162,100,2.72
163,100,2.73
164,100,2.74
165,100,2.75
166,100,2.76
167,100,2.77
168,100,2.78
169,100,2.79
170,100,2.8
171,100,2.81
172,100,2.82
173,100,2.83
174,100,2.84
175,100,2.85
176,100,2.86
177,100,2.87
178,100,2.88
179,100,2.89
180,100,2.9
181,100,2.91
182,100,2.92
183,100,2.93
184,100,2.94
185,100,2.95
186,100,2.96
187,100,2.97
188,100,2.98
189,100,2.99
190,100,3
191,100,3.01
192,100,3.02
193,100,3.03
194,100,3.04
195,100,3.05
196,100,3.06
197,100,3.07
198,100,3.08
