Level,start_percent,effect_percent
0,100,1.35
1,100,1.4
2,100,1.45
3,100,1.5
4,100,1.55
5,100,1.6
6,100,1.65
7,100,1.7
8,100,1.75
9,100,1.8
10,100,1.85
11,100,1.9
12,100,1.95
13,100,2
14,100,2.05
15,100,2.1
16,100,2.15
17,100,2.2
18,100,2.25
19,100,2.3
20,100,2.35
21,100,2.4
22,100,2.45
23,100,2.5
24,100,2.55
25,100,2.6
26,100,2.65
27,100,2.7
28,100,2.75
29,100,2.8
30,100,2.85
31,100,2.9
32,100,2.95
33,100,3
34,100,3.05
35,100,3.1
36,100,3.15
37,100,3.2
38,100,3.25
39,100,3.3
40,100,3.35
41,100,3.4
42,100,3.45
43,100,3.5
44,100,3.55
45,100,3.6
46,100,3.65
47,100,3.7
48,100,3.75
49,100,3.8
50,100,3.85
51,100,3.9
52,100,3.95
53,100,4
54,100,4.05
55,100,4.1
56,100,4.15
57,100,4.2
58,100,4.25
59,100,4.3
60,100,4.35
61,100,4.4
62,100,4.45
63,100,4.5
64,100,4.55
65,100,4.6
66,100,4.65
67,100,4.7
68,100,4.75
69,100,4.8
70,100,4.85
71,100,4.9
72,100,4.95
73,100,5
74,100,5.05
75,100,5.1
76,100,5.15
77,100,5.2
78,100,5.25
79,100,5.3
80,100,5.35
81,100,5.4
82,100,5.45
83,100,5.5
84,100,5.55
85,100,5.6
86,100,5.65
87,100,5.7
88,100,5.75
89,100,5.8
90,100,5.85
91,100,5.9
92,100,5.95
93,100,6
94,100,6.05
95,100,6.1
96,100,6.15
97,100,6.2
98,100,6.25
99,100,6.3
100,100,6.35
101,100,6.4
102,100,6.45
103,100,6.5
104,100,6.55
105,100,6.6
106,100,6.65
107,100,6.7
108,100,6.75
109,100,6.8
110,100,6.85
111,100,6.9
112,100,6.95
113,100,7
114,100,7.05
115,100,7.1
116,100,7.15
117,100,7.2
118,100,7.25
119,100,7.3
120,100,7.35
121,100,7.4
122,100,7.45
123,100,7.5
124,100,7.55
125,100,7.6
126,100,7.65
127,100,7.7
128,100,7.75
129,100,7.8
130,100,7.85
131,100,7.9
132,100,7.95
133,100,8
134,100,8.05
135,100,8.1
136,100,8.15
137,100,8.2
138,100,8.25
139,100,8.3
140,100,8.35
141,100,8.4
142,100,8.45
143,100,8.5
144,100,8.55
145,100,8.6
146,100,8.65
147,100,8.7
148,100,8.75
149,100,8.8
150,100,8.85
151,100,8.9
152,100,8.95
153,100,9
154,100,9.05
155,100,9.1
156,100,9.15
157,100,9.2
158,100,9.25
159,100,9.3
160,100,9.35
161,100,9.4
162,100,9.45
163,100,9.5
164,100,9.55
165,100,9.6
166,100,9.65
167,100,9.7
168,100,9.75
169,100,9.8
170,100,9.85
171,100,9.9
172,100,9.95
173,100,10
174,100,10.05
175,100,10.1
176,100,10.15
177,100,10.2
178,100,10.25
179,100,10.3
180,100,10.35
181,100,10.4
182,100,10.45
183,100,10.5
184,100,10.55
185,100,10.6
186,100,10.65
187,100,10.7
188,100,10.75
189,100,10.8
190,100,10.85
191,100,10.9
192,100,10.95
193,100,11
194,100,11.05
195,100,11.1
196,100,11.15
197,100,11.2
198,100,11.25
