Level,start_percent,effect_percent
0,100,5
1,100,6
2,100,7
3,100,8
4,100,9
5,100,10
6,100,11
7,100,12
8,100,13
9,100,14
10,100,15
11,100,16
12,100,17
13,100,18
14,100,19
15,100,20
16,100,21
17,100,22
18,100,23
19,100,24
20,100,25
21,100,26
22,100,27
23,100,28
24,100,29
25,100,30
26,100,31
27,100,32
28,100,33
29,100,34
30,100,35
31,100,36
32,100,37
33,100,38
34,100,39
35,100,40
36,100,41
37,100,42
38,100,43
39,100,44
40,100,45
41,100,46
42,100,47
43,100,48
44,100,49
45,100,50
46,100,51
47,100,52
48,100,53
49,100,54
50,100,55
51,100,56
52,100,57
53,100,58
54,100,59
55,100,60
56,100,61
57,100,62
58,100,63
59,100,64
60,100,65
61,100,66
62,100,67
63,100,68
64,100,69
65,100,70
66,100,71
67,100,72
68,100,73
69,100,74
70,100,75
71,100,76
72,100,77
73,100,78
74,100,79
75,100,80
76,100,81
77,100,82
78,100,83
79,100,84
80,100,85
81,100,86
82,100,87
83,100,88
84,100,89
85,100,90
86,100,91
87,100,92
88,100,93
89,100,94
90,100,95
91,100,96
92,100,97
93,100,98
94,100,99
95,100,100
96,100,101
97,100,102
98,100,103
99,100,104
100,100,105
101,100,106
102,100,107
103,100,108
104,100,109
105,100,110
106,100,111
107,100,112
108,100,113
109,100,114
110,100,115
111,100,116
112,100,117
113,100,118
114,100,119
115,100,120
116,100,121
117,100,122
118,100,123
119,100,124
120,100,125
121,100,126
122,100,127
123,100,128
124,100,129
125,100,130
126,100,131
127,100,132
128,100,133
129,100,134
130,100,135
131,100,136
132,100,137
133,100,138
134,100,139
135,100,140
136,100,141
137,100,142
138,100,143
139,100,144
140,100,145
141,100,146
142,100,147
143,100,148
144,100,149
145,100,150
146,100,151
147,100,152
148,100,153
149,100,154
150,100,155
151,100,156
152,100,157
153,100,158
154,100,159
155,100,160
156,100,161
157,100,162
158,100,163
159,100,164
160,100,165
161,100,166
162,100,167
163,100,168
164,100,169
165,100,170
166,100,171
167,100,172
168,100,173
169,100,174
170,100,175
171,100,176
172,100,177
173,100,178
174,100,179
175,100,180
176,100,181
177,100,182
178,100,183
179,100,184
180,100,185
181,100,186
182,100,187
183,100,188
184,100,189
185,100,190
186,100,191
187,100,192
188,100,193
189,100,194
190,100,195
191,100,196
192,100,197
193,100,198
194,100,199
195,100,200
196,100,201
197,100,202
198,100,203
