Level,start_percent,effect_percent
0,100,6
1,100,6.5
2,100,7
3,100,7.5
4,100,8
5,100,8.5
6,100,9
7,100,9.5
8,100,10
9,100,10.5
10,100,11
11,100,11.5
12,100,12
13,100,12.5
14,100,13
15,100,13.5
16,100,14
17,100,14.5
18,100,15
19,100,15.5
20,100,16
21,100,16.5
22,100,17
23,100,17.5
24,100,18
25,100,18.5
26,100,19
27,100,19.5
28,100,20
29,100,20.5
30,100,21
31,100,21.5
32,100,22
33,100,22.5
34,100,23
35,100,23.5
36,100,24
37,100,24.5
38,100,25
39,100,25.5
40,100,26
41,100,26.5
42,100,27
43,100,27.5
44,100,28
45,100,28.5
46,100,29
47,100,29.5
48,100,30
49,100,30.5
50,100,31
51,100,31.5
52,100,32
53,100,32.5
54,100,33
55,100,33.5
56,100,34
57,100,34.5
58,100,35
59,100,35.5
60,100,36
61,100,36.5
62,100,37
63,100,37.5
64,100,38
65,100,38.5
66,100,39
67,100,39.5
68,100,40
69,100,40.5
70,100,41
71,100,41.5
72,100,42
73,100,42.5
74,100,43
75,100,43.5
76,100,44
77,100,44.5
78,100,45
79,100,45.5
80,100,46
81,100,46.5
82,100,47
83,100,47.5
84,100,48
85,100,48.5
86,100,49
87,100,49.5
88,100,50
89,100,50.5
90,100,51
91,100,51.5
92,100,52
93,100,52.5
94,100,53
95,100,53.5
96,100,54
97,100,54.5
98,100,55
99,100,55.5
100,100,56
101,100,56.5
102,100,57
103,100,57.5
104,100,58
105,100,58.5
106,100,59
107,100,59.5
108,100,60
109,100,60.5
110,100,61
111,100,61.5
112,100,62
113,100,62.5
114,100,63
115,100,63.5
116,100,64
117,100,64.5
118,100,65
119,100,65.5
120,100,66
121,100,66.5
122,100,67
123,100,67.5
124,100,68
125,100,68.5
126,100,69
127,100,69.5
128,100,70
129,100,70.5
130,100,71
131,100,71.5
132,100,72
133,100,72.5
134,100,73
135,100,73.5
136,100,74
137,100,74.5
138,100,75
139,100,75.5
140,100,76
141,100,76.5
142,100,77
143,100,77.5
144,100,78
145,100,78.5
146,100,79
147,100,79.5
148,100,80
149,100,80.5
150,100,81
151,100,81.5
152,100,82
153,100,82.5
154,100,83
155,100,83.5
156,100,84
157,100,84.5
158,100,85
159,100,85.5
160,100,86
161,100,86.5
162,100,87
163,100,87.5
164,100,88
165,100,88.5
166,100,89
167,100,89.5
168,100,90
169,100,90.5
170,100,91
171,100,91.5
172,100,92
173,100,92.5
174,100,93
175,100,93.5
176,100,94
177,100,94.5
178,100,95
179,100,95.5
180,100,96
181,100,96.5
182,100,97
183,100,97.5
184,100,98
185,100,98.5
186,100,99
187,100,99.5
188,100,100
189,100,100
190,100,100
191,100,100
192,100,100
193,100,100
194,100,100
195,100,100
196,100,100
197,100,100
198,100,100
