Level,start_percent,effect_percent
0,100,20
1,100,25
2,100,30
3,100,35
4,100,40
5,100,45
6,100,50
7,100,55
8,100,60
9,100,65
10,100,70
11,100,75
12,100,80
13,100,85
14,100,90
15,100,95
16,100,100
17,100,105
18,100,110
19,100,115
20,100,120
21,100,125
22,100,130
23,100,135
24,100,140
25,100,145
26,100,150
27,100,155
28,100,160
29,100,165
30,100,170
31,100,175
32,100,180
33,100,185
34,100,190
35,100,195
36,100,200
37,100,205
38,100,210
39,100,215
40,100,220
41,100,225
42,100,230
43,100,235
44,100,240
45,100,245
46,100,250
47,100,255
48,100,260
49,100,265
50,100,270
51,100,275
52,100,280
53,100,285
54,100,290
55,100,295
56,100,300
57,100,305
58,100,310
59,100,315
60,100,320
61,100,325
62,100,330
63,100,335
64,100,340
65,100,345
66,100,350
67,100,355
68,100,360
69,100,365
70,100,370
71,100,375
72,100,380
73,100,385
74,100,390
75,100,395
76,100,400
77,100,405
78,100,410
79,100,415
80,100,420
81,100,425
82,100,430
83,100,435
84,100,440
85,100,445
86,100,450
87,100,455
88,100,460
89,100,465
90,100,470
91,100,475
92,100,480
93,100,485
94,100,490
95,100,495
96,100,500
97,100,505
98,100,510
99,100,515
100,100,520
101,100,525
102,100,530
103,100,535
104,100,540
105,100,545
106,100,550
107,100,555
108,100,560
109,100,565
110,100,570
111,100,575
112,100,580
113,100,585
114,100,590
115,100,595
116,100,600
117,100,605
118,100,610
119,100,615
120,100,620
121,100,625
122,100,630
123,100,635
124,100,640
125,100,645
126,100,650
127,100,655
128,100,660
129,100,665
130,100,670
131,100,675
132,100,680
133,100,685
134,100,690
135,100,695
136,100,700
137,100,705
138,100,710
139,100,715
140,100,720
141,100,725
142,100,730
143,100,735
144,100,740
145,100,745
146,100,750
147,100,755
148,100,760
149,100,765
150,100,770
151,100,775
152,100,780
153,100,785
154,100,790
155,100,795
156,100,800
157,100,805
158,100,810
159,100,815
160,100,820
161,100,825
162,100,830
163,100,835
164,100,840
165,100,845
166,100,850
167,100,855
168,100,860
169,100,865
170,100,870
171,100,875
172,100,880
173,100,885
174,100,890
175,100,895
176,100,900
177,100,905
178,100,910
179,100,915
180,100,920
181,100,925
182,100,930
183,100,935
184,100,940
185,100,945
186,100,950
187,100,955
188,100,960
189,100,965
190,100,970
191,100,975
192,100,980
193,100,985
194,100,990
195,100,995
196,100,1000
197,100,1005
198,100,1010
