Level,start_percent,effect_percent
0,100,1.1
1,100,1.15
2,100,1.2
3,100,1.25
4,100,1.3
5,100,1.35
6,100,1.4
7,100,1.45
8,100,1.5
9,100,1.55
10,100,1.6
11,100,1.65
12,100,1.7
13,100,1.75
14,100,1.8
15,100,1.85
16,100,1.9
17,100,1.95
18,100,2
19,100,2.05
20,100,2.1
21,100,2.15
22,100,2.2
23,100,2.25
24,100,2.3
25,100,2.35
26,100,2.4
27,100,2.45
28,100,2.5
29,100,2.55
30,100,2.6
31,100,2.65
32,100,2.7
33,100,2.75
34,100,2.8
35,100,2.85
36,100,2.9
37,100,2.95
38,100,3
39,100,3.05
40,100,3.1
41,100,3.15
42,100,3.2
43,100,3.25
44,100,3.3
45,100,3.35
46,100,3.4
47,100,3.45
48,100,3.5
49,100,3.55
50,100,3.6
51,100,3.65
52,100,3.7
53,100,3.75
54,100,3.8
55,100,3.85
56,100,3.9
57,100,3.95
58,100,4
59,100,4.05
60,100,4.1
61,100,4.15
62,100,4.2
63,100,4.25
64,100,4.3
65,100,4.35
66,100,4.4
67,100,4.45
68,100,4.5
69,100,4.55
70,100,4.6
71,100,4.65
72,100,4.7
73,100,4.75
74,100,4.8
75,100,4.85
76,100,4.9
77,100,4.95
78,100,5
79,100,5.05
80,100,5.1
81,100,5.15
82,100,5.2
83,100,5.25
84,100,5.3
85,100,5.35
86,100,5.4
87,100,5.45
88,100,5.5
89,100,5.55
90,100,5.6
91,100,5.65
92,100,5.7
93,100,5.75
94,100,5.8
95,100,5.85
96,100,5.9
97,100,5.95
98,100,6
99,100,6.05
100,100,6.1
101,100,6.15
102,100,6.2
103,100,6.25
104,100,6.3
105,100,6.35
106,100,6.4
107,100,6.45
108,100,6.5
109,100,6.55
110,100,6.6
111,100,6.65
112,100,6.7
113,100,6.75
114,100,6.8
115,100,6.85
116,100,6.9
117,100,6.95
118,100,7
119,100,7.05
120,100,7.1
121,100,7.15
122,100,7.2
123,100,7.25
124,100,7.3
125,100,7.35
126,100,7.4
127,100,7.45
128,100,7.5
129,100,7.55
130,100,7.6
131,100,7.65
132,100,7.7
133,100,7.75
134,100,7.8
135,100,7.85
136,100,7.9
137,100,7.95
138,100,8
139,100,8.05
140,100,8.1
141,100,8.15
142,100,8.2
143,100,8.25
144,100,8.3
145,100,8.35
146,100,8.4
147,100,8.45
148,100,8.5
149,100,8.55
150,100,8.6
151,100,8.65
152,100,8.7
153,100,8.75
154,100,8.8
155,100,8.85
156,100,8.9
157,100,8.95
158,100,9
159,100,9.05
160,100,9.1
161,100,9.15
162,100,9.2
163,100,9.25
164,100,9.3
165,100,9.35
166,100,9.4
167,100,9.45
168,100,9.5
169,100,9.55
170,100,9.6
171,100,9.65
172,100,9.7
173,100,9.75
174,100,9.8
175,100,9.85
176,100,9.9
177,100,9.95
178,100,10
179,100,10.05
180,100,10.1
181,100,10.15
182,100,10.2
183,100,10.25
184,100,10.3
185,100,10.35
186,100,10.4
187,100,10.45
188,100,10.5
189,100,10.55
190,100,10.6
191,100,10.65
192,100,10.7
193,100,10.75
194,100,10.8
195,100,10.85
196,100,10.9
197,100,10.95
198,100,11
