Level,start_percent,effect_percent
0,100,50000
1,100,100000
2,100,150000
3,100,200000
4,100,250000
5,100,300000
6,100,350000
7,100,400000
8,100,450000
9,100,500000
10,100,550000
11,100,600000
12,100,650000
13,100,700000
14,100,750000
15,100,800000
16,100,850000
17,100,900000
18,100,950000
19,100,1000000
20,100,1050000
21,100,1100000
22,100,1150000
23,100,1200000
24,100,1250000
25,100,1300000
26,100,1350000
27,100,1400000
28,100,1450000
29,100,1500000
30,100,1550000
31,100,1600000
32,100,1650000
33,100,1700000
34,100,1750000
35,100,1800000
36,100,1850000
37,100,1900000
38,100,1950000
39,100,2000000
40,100,2050000
41,100,2100000
42,100,2150000
43,100,2200000
44,100,2250000
45,100,2300000
46,100,2350000
47,100,2400000
48,100,2450000
49,100,2500000
50,100,2550000
51,100,2600000
52,100,2650000
53,100,2700000
54,100,2750000
55,100,2800000
56,100,2850000
57,100,2900000
58,100,2950000
59,100,3000000
60,100,3050000
61,100,3100000
62,100,3150000
63,100,3200000
64,100,3250000
65,100,3300000
66,100,3350000
67,100,3400000
68,100,3450000
69,100,3500000
70,100,3550000
71,100,3600000
72,100,3650000
73,100,3700000
74,100,3750000
75,100,3800000
76,100,3850000
77,100,3900000
78,100,3950000
79,100,4000000
80,100,4050000
81,100,4100000
82,100,4150000
83,100,4200000
84,100,4250000
85,100,4300000
86,100,4350000
87,100,4400000
88,100,4450000
89,100,4500000
90,100,4550000
91,100,4600000
92,100,4650000
93,100,4700000
94,100,4750000
95,100,4800000
96,100,4850000
97,100,4900000
98,100,4950000
99,100,5000000
100,100,5050000
101,100,5100000
102,100,5150000
103,100,5200000
104,100,5250000
105,100,5300000
106,100,5350000
107,100,5400000
108,100,5450000
109,100,5500000
110,100,5550000
111,100,5600000
112,100,5650000
113,100,5700000
114,100,5750000
115,100,5800000
116,100,5850000
117,100,5900000
118,100,5950000
119,100,6000000
120,100,6050000
121,100,6100000
122,100,6150000
123,100,6200000
124,100,6250000
125,100,6300000
126,100,6350000
127,100,6400000
128,100,6450000
129,100,6500000
130,100,6550000
131,100,6600000
132,100,6650000
133,100,6700000
134,100,6750000
135,100,6800000
136,100,6850000
137,100,6900000
138,100,6950000
139,100,7000000
140,100,7050000
141,100,7100000
142,100,7150000
143,100,7200000
144,100,7250000
145,100,7300000
146,100,7350000
147,100,7400000
148,100,7450000
149,100,7500000
150,100,7550000
151,100,7600000
152,100,7650000
153,100,7700000
154,100,7750000
155,100,7800000
156,100,7850000
157,100,7900000
158,100,7950000
159,100,8000000
160,100,8050000
161,100,8100000
162,100,8150000
163,100,8200000
164,100,8250000
165,100,8300000
166,100,8350000
167,100,8400000
168,100,8450000
169,100,8500000
170,100,8550000
171,100,8600000
172,100,8650000
173,100,8700000
174,100,8750000
175,100,8800000
176,100,8850000
177,100,8900000
178,100,8950000
179,100,9000000
180,100,9050000
181,100,9100000
182,100,9150000
183,100,9200000
184,100,9250000
185,100,9300000
186,100,9350000
187,100,9400000
188,100,9450000
189,100,9500000
190,100,9550000
191,100,9600000
192,100,9650000
193,100,9700000
194,100,9750000
195,100,9800000
196,100,9850000
197,100,9900000
198,100,9950000
