Level,start_percent,effect_percent
0,15,1000
1,15.5,1000
2,20,1000
3,22,1000
4,30,1000
5,35,1000
6,38,1000
7,40,1000
8,42,1000
9,44,1000
10,48,1500
11,50,1500
12,52,1500
13,54,1500
14,56,1500
15,58,1500
16,60,1500
17,62,2500
18,64,3000
19,66,4000
20,70,5000
21,70,5000
22,70,5000
23,70,5000
24,70,5000
25,70,5000
26,70,5000
27,70,5000
28,70,5000
29,70,5000
30,70,5000
31,70,5000
32,70,5000
33,70,5000
34,70,5000
35,70,5000
36,70,5000
37,70,5000
38,70,5000
39,70,5000
40,70,5000
41,70,5000
42,70,5000
43,70,5000
44,70,5000
45,70,5000
46,70,5000
47,70,5000
48,70,5000
49,70,5000
50,70,5000
51,70,5000
52,70,5000
53,70,5000
54,70,5000
55,70,5000
56,70,5000
57,70,5000
58,70,5000
59,70,5000
60,70,5000
61,70,5000
62,70,5000
63,70,5000
64,70,5000
65,70,5000
66,70,5000
67,70,5000
68,70,5000
69,70,5000
70,70,5000
71,70,5000
72,70,5000
73,70,5000
74,70,5000
75,70,5000
76,70,5000
77,70,5000
78,70,5000
79,70,5000
80,70,5000
81,70,5000
82,70,5000
83,70,5000
84,70,5000
85,70,5000
86,70,5000
87,70,5000
88,70,5000
89,70,5000
90,70,5000
91,70,5000
92,70,5000
93,70,5000
94,70,5000
95,70,5000
96,70,5000
97,70,5000
98,70,5000
99,70,5000
100,70,5000
101,70,5000
102,70,5000
103,70,5000
104,70,5000
105,70,5000
106,70,5000
107,70,5000
108,70,5000
109,70,5000
110,70,5000
111,70,5000
112,70,5000
113,70,5000
114,70,5000
115,70,5000
116,70,5000
117,70,5000
118,70,5000
119,70,5000
120,70,5000
121,70,5000
122,70,5000
123,70,5000
124,70,5000
125,70,5000
126,70,5000
127,70,5000
128,70,5000
129,70,5000
130,70,5000
131,70,5000
132,70,5000
133,70,5000
134,70,5000
135,70,5000
136,70,5000
137,70,5000
138,70,5000
139,70,5000
140,70,5000
141,70,5000
142,70,5000
143,70,5000
144,70,5000
145,70,5000
146,70,5000
147,70,5000
148,70,5000
149,70,5000
150,70,5000
151,70,5000
152,70,5000
153,70,5000
154,70,5000
155,70,5000
156,70,5000
157,70,5000
158,70,5000
159,70,5000
160,70,5000
161,70,5000
162,70,5000
163,70,5000
164,70,5000
165,70,5000
166,70,5000
167,70,5000
168,70,5000
169,70,5000
170,70,5000
171,70,5000
172,70,5000
173,70,5000
174,70,5000
175,70,5000
176,70,5000
177,70,5000
178,70,5000
179,70,5000
180,70,5000
181,70,5000
182,70,5000
183,70,5000
184,70,5000
185,70,5000
186,70,5000
187,70,5000
188,70,5000
189,70,5000
190,70,5000
191,70,5000
192,70,5000
193,70,5000
194,70,5000
195,70,5000
196,70,5000
197,70,5000
198,70,5000
199,70,5000
200,70,5000
201,70,5000
202,70,5000
203,70,5000
204,70,5000
205,70,5000
206,70,5000
207,70,5000
208,70,5000
209,70,5000
210,70,5000
211,70,5000
212,70,5000
213,70,5000
214,70,5000
215,70,5000
216,70,5000
217,70,5000
218,70,5000
219,70,5000
220,70,5000
221,70,5000
222,70,5000
223,70,5000
224,70,5000
225,70,5000
226,70,5000
227,70,5000
228,70,5000
229,70,5000
230,70,5000
231,70,5000
232,70,5000
233,70,5000
234,70,5000
235,70,5000
236,70,5000
237,70,5000
238,70,5000
239,70,5000
240,70,5000
241,70,5000
242,70,5000
243,70,5000
244,70,5000
245,70,5000
246,70,5000
247,70,5000
248,70,5000
