Level,start_percent,effect_percent
0,100,1.2
1,100,1.25
2,100,1.3
3,100,1.35
4,100,1.4
5,100,1.45
6,100,1.5
7,100,1.55
8,100,1.6
9,100,1.65
10,100,1.7
11,100,1.75
12,100,1.8
13,100,1.85
14,100,1.9
15,100,1.95
16,100,2
17,100,2.05
18,100,2.1
19,100,2.15
20,100,2.2
21,100,2.25
22,100,2.3
23,100,2.35
24,100,2.4
25,100,2.45
26,100,2.5
27,100,2.55
28,100,2.6
29,100,2.65
30,100,2.7
31,100,2.75
32,100,2.8
33,100,2.85
34,100,2.9
35,100,2.95
36,100,3
37,100,3.05
38,100,3.1
39,100,3.15
40,100,3.2
41,100,3.25
42,100,3.3
43,100,3.35
44,100,3.4
45,100,3.45
46,100,3.5
47,100,3.55
48,100,3.6
49,100,3.65
50,100,3.7
51,100,3.75
52,100,3.8
53,100,3.85
54,100,3.9
55,100,3.95
56,100,4
57,100,4.05
58,100,4.1
59,100,4.15
60,100,4.2
61,100,4.25
62,100,4.3
63,100,4.35
64,100,4.4
65,100,4.45
66,100,4.5
67,100,4.55
68,100,4.6
69,100,4.65
70,100,4.7
71,100,4.75
72,100,4.8
73,100,4.85
74,100,4.9
75,100,4.95
76,100,5
77,100,5.05
78,100,5.1
79,100,5.15
80,100,5.2
81,100,5.25
82,100,5.3
83,100,5.35
84,100,5.4
85,100,5.45
86,100,5.5
87,100,5.55
88,100,5.6
89,100,5.65
90,100,5.7
91,100,5.75
92,100,5.8
93,100,5.85
94,100,5.9
95,100,5.95
96,100,6
97,100,6.05
98,100,6.1
99,100,6.15
100,100,6.2
101,100,6.25
102,100,6.3
103,100,6.35
104,100,6.4
105,100,6.45
106,100,6.5
107,100,6.55
108,100,6.6
109,100,6.65
110,100,6.7
111,100,6.75
112,100,6.8
113,100,6.85
114,100,6.9
115,100,6.95
116,100,7
117,100,7.05
118,100,7.1
119,100,7.15
120,100,7.2
121,100,7.25
122,100,7.3
123,100,7.35
124,100,7.4
125,100,7.45
126,100,7.5
127,100,7.55
128,100,7.6
129,100,7.65
130,100,7.7
131,100,7.75
132,100,7.8
133,100,7.85
134,100,7.9
135,100,7.95
136,100,8
137,100,8.05
138,100,8.1
139,100,8.15
140,100,8.2
141,100,8.25
142,100,8.3
143,100,8.35
144,100,8.4
145,100,8.45
146,100,8.5
147,100,8.55
148,100,8.6
149,100,8.65
150,100,8.7
151,100,8.75
152,100,8.8
153,100,8.85
154,100,8.9
155,100,8.95
156,100,9
157,100,9.05
158,100,9.1
159,100,9.15
160,100,9.2
161,100,9.25
162,100,9.3
163,100,9.35
164,100,9.4
165,100,9.45
166,100,9.5
167,100,9.55
168,100,9.6
169,100,9.65
170,100,9.7
171,100,9.75
172,100,9.8
173,100,9.85
174,100,9.9
175,100,9.95
176,100,10
177,100,10.05
178,100,10.1
179,100,10.15
180,100,10.2
181,100,10.25
182,100,10.3
183,100,10.35
184,100,10.4
185,100,10.45
186,100,10.5
187,100,10.55
188,100,10.6
189,100,10.65
190,100,10.7
191,100,10.75
192,100,10.8
193,100,10.85
194,100,10.9
195,100,10.95
196,100,11
197,100,11.05
198,100,11.1
