Level,start_percent,effect_percent
0,100,1.2
1,100,1.25
2,100,1.3
3,100,1.35
4,100,1.4
5,100,1.5
6,100,1.55
7,100,1.6
8,100,1.65
9,100,1.7
10,100,1.75
11,100,1.8
12,100,1.85
13,100,1.9
14,100,1.95
15,100,2
16,100,2.05
17,100,2.1
18,100,2.15
19,100,2.2
20,100,2.25
21,100,2.3
22,100,2.35
23,100,2.4
24,100,2.45
25,100,2.5
26,100,2.55
27,100,2.6
28,100,2.65
29,100,2.7
30,100,2.75
31,100,2.8
32,100,2.85
33,100,2.9
34,100,2.95
35,100,3
36,100,3.05
37,100,3.1
38,100,3.15
39,100,3.2
40,100,3.25
41,100,3.3
42,100,3.35
43,100,3.4
44,100,3.45
45,100,3.5
46,100,3.55
47,100,3.6
48,100,3.65
49,100,3.7
50,100,3.75
51,100,3.8
52,100,3.85
53,100,3.9
54,100,3.95
55,100,4
56,100,4.05
57,100,4.1
58,100,4.15
59,100,4.2
60,100,4.25
61,100,4.3
62,100,4.35
63,100,4.4
64,100,4.45
65,100,4.5
66,100,4.55
67,100,4.6
68,100,4.65
69,100,4.7
70,100,4.75
71,100,4.8
72,100,4.85
73,100,4.9
74,100,4.95
75,100,5
76,100,5.05
77,100,5.1
78,100,5.15
79,100,5.2
80,100,5.25
81,100,5.3
82,100,5.35
83,100,5.4
84,100,5.45
85,100,5.5
86,100,5.55
87,100,5.6
88,100,5.65
89,100,5.7
90,100,5.75
91,100,5.8
92,100,5.85
93,100,5.9
94,100,5.95
95,100,6
96,100,6.05
97,100,6.1
98,100,6.15
99,100,6.2
100,100,6.25
101,100,6.3
102,100,6.35
103,100,6.4
104,100,6.45
105,100,6.5
106,100,6.55
107,100,6.6
108,100,6.65
109,100,6.7
110,100,6.75
111,100,6.8
112,100,6.85
113,100,6.9
114,100,6.95
115,100,7
116,100,7.05
117,100,7.1
118,100,7.15
119,100,7.2
120,100,7.25
121,100,7.3
122,100,7.35
123,100,7.4
124,100,7.45
125,100,7.5
126,100,7.55
127,100,7.6
128,100,7.65
129,100,7.7
130,100,7.75
131,100,7.8
132,100,7.85
133,100,7.9
134,100,7.95
135,100,8
136,100,8.05
137,100,8.1
138,100,8.15
139,100,8.2
140,100,8.25
141,100,8.3
142,100,8.35
143,100,8.4
144,100,8.45
145,100,8.5
146,100,8.55
147,100,8.6
148,100,8.65
149,100,8.7
150,100,8.75
151,100,8.8
152,100,8.85
153,100,8.9
154,100,8.95
155,100,9
156,100,9.05
157,100,9.1
158,100,9.15
159,100,9.2
160,100,9.25
161,100,9.3
162,100,9.35
163,100,9.4
164,100,9.45
165,100,9.5
166,100,9.55
167,100,9.6
168,100,9.65
169,100,9.7
170,100,9.75
171,100,9.8
172,100,9.85
173,100,9.9
174,100,9.95
175,100,10
176,100,10.05
177,100,10.1
178,100,10.15
179,100,10.2
180,100,10.25
181,100,10.3
182,100,10.35
183,100,10.4
184,100,10.45
185,100,10.5
186,100,10.55
187,100,10.6
188,100,10.65
189,100,10.7
190,100,10.75
191,100,10.8
192,100,10.85
193,100,10.9
194,100,10.95
195,100,11
196,100,11.05
197,100,11.1
198,100,11.15
