Level,start_percent,effect_percent
0,11,20
1,11.5,20
2,21,20
3,31,20
4,41,20
5,51,20
6,60,20
7,60,20
8,60,20
9,60,20
10,61,20
11,62,30
12,63,30
13,64,30
14,65,30
15,66,30
16,67,30
17,68,30
18,69,30
19,70,30
20,75,30
21,75,30
22,75,30
23,75,30
24,75,30
25,75,30
26,75,30
27,75,30
28,75,30
29,75,30
30,75,30
31,75,30
32,75,30
33,75,30
34,75,30
35,75,30
36,75,30
37,75,30
38,75,30
39,75,30
40,75,30
41,75,30
42,75,30
43,75,30
44,75,30
45,75,30
46,75,30
47,75,30
48,75,30
49,75,30
50,75,30
51,75,30
52,75,30
53,75,30
54,75,30
55,75,30
56,75,30
57,75,30
58,75,30
59,75,30
60,75,30
61,75,30
62,75,30
63,75,30
64,75,30
65,75,30
66,75,30
67,75,30
68,75,30
69,75,30
70,75,30
71,75,30
72,75,30
73,75,30
74,75,30
75,75,30
76,75,30
77,75,30
78,75,30
79,75,30
80,75,30
81,75,30
82,75,30
83,75,30
84,75,30
85,75,30
86,75,30
87,75,30
88,75,30
89,75,30
90,75,30
91,75,30
92,75,30
93,75,30
94,75,30
95,75,30
96,75,30
97,75,30
98,75,30
99,75,30
100,75,30
101,75,30
102,75,30
103,75,30
104,75,30
105,75,30
106,75,30
107,75,30
108,75,30
109,75,30
110,75,30
111,75,30
112,75,30
113,75,30
114,75,30
115,75,30
116,75,30
117,75,30
118,75,30
119,75,30
120,75,30
121,75,30
122,75,30
123,75,30
124,75,30
125,75,30
126,75,30
127,75,30
128,75,30
129,75,30
130,75,30
131,75,30
132,75,30
133,75,30
134,75,30
135,75,30
136,75,30
137,75,30
138,75,30
139,75,30
140,75,30
141,75,30
142,75,30
143,75,30
144,75,30
145,75,30
146,75,30
147,75,30
148,75,30
149,75,30
150,75,30
151,75,30
152,75,30
153,75,30
154,75,30
155,75,30
156,75,30
157,75,30
158,75,30
159,75,30
160,75,30
161,75,30
162,75,30
163,75,30
164,75,30
165,75,30
166,75,30
167,75,30
168,75,30
169,75,30
170,75,30
171,75,30
172,75,30
173,75,30
174,75,30
175,75,30
176,75,30
177,75,30
178,75,30
179,75,30
180,75,30
181,75,30
182,75,30
183,75,30
184,75,30
185,75,30
186,75,30
187,75,30
188,75,30
189,75,30
190,75,30
191,75,30
192,75,30
193,75,30
194,75,30
195,75,30
196,75,30
197,75,30
198,75,30
199,75,30
200,75,30
201,75,30
202,75,30
203,75,30
204,75,30
205,75,30
206,75,30
207,75,30
208,75,30
209,75,30
210,75,30
211,75,30
212,75,30
213,75,30
214,75,30
215,75,30
216,75,30
217,75,30
218,75,30
219,75,30
220,75,30
221,75,30
222,75,30
223,75,30
224,75,30
225,75,30
226,75,30
227,75,30
228,75,30
229,75,30
230,75,30
231,75,30
232,75,30
233,75,30
234,75,30
235,75,30
236,75,30
237,75,30
238,75,30
239,75,30
240,75,30
241,75,30
242,75,30
243,75,30
244,75,30
245,75,30
246,75,30
247,75,30
248,75,30
