Number,Hero_Name,Skill_Image,Skill_Name,Skill_DES
0,SWORD,Hero_Skill_Image/SWORD,뇌진격,근접 공격시 <color=#FFFF00>{0}</color>%의 확률로 주변 모든 적에게 플레이어 공격력 <color=#FFFF00>{1}</color>배의 강력한 천둥 번개를 내리쳐 범위 데미지를 가합니다.
1,DICE,Hero_Skill_Image/DICE,행운의 연속,행운을 시험합니다. <color=#FFFF00>{0}</color>% 의 확률로 주사위를 굴려 1에서 6의 값에 따라 <color=#FFFF00>5</color>~<color=#FFFF00>30</color>%의 추가 골드를 획득합니다.
2,MANA,Hero_Skill_Image/MANA,에테르의 숨결,"몬스터에게 피격 시 , <color=#FFFF00>{0}</color>%의 확률로 영웅 전체의 마나를 <color=#FFFF00>{1}</color>만큼 충전합니다. "
3,HP,Hero_Skill_Image/HP,생명의 이슬,"몬스터에게 피격 시 , <color=#FFFF00>{0}</color>%의 확률로 영웅의 체력을 <color=#FFFF00>{1}</color>만큼 회복합니다. 영웅 최대 체력에 관계없이 확장하여 회복시킵니다."
4,ATK,Hero_Skill_Image/ATK,전사의 계시,"유물을 장착하면, 잠재된 힘이 해방되며 영웅 공격력의 <color=#FFFF00>{1}</color>배 가 상승합니다. 이 효과는 전투 시작과 동시에 적용되며, 해제 시 원래 수치로 되돌아갑니다."
5,HP_UP,Hero_Skill_Image/HP_UP,생명초월,"유물 장착 시, 플레이어의 최대 체력을 <color=#FFFF00>{1}</color>배 증가시킵니다. 이 효과는 전투 시작과 동시에 적용되며, 해제 시 원래 수치로 되돌아갑니다."
6,ITEM_DROP,Hero_Skill_Image/ITEM_DROP,탐욕의 손아귀,"유물 장착 시, 플레이어의 최종 아이템 드랍률을 <color=#FFFF00>{1}</color>배 증가시킵니다. 이 효과는 전투 시작과 동시에 적용되며, 해제 시 원래 수치로 되돌아갑니다."
7,ATK_SPEED,Hero_Skill_Image/ATK_SPEED,질풍격,"유물 장착 시, 플레이어의 최종 공격속도를 <color=#FFFF00>{1}</color>배 증가시킵니다. 이 효과는 전투 시작과 동시에 적용되며, 해제 시 원래 수치로 되돌아갑니다."
8,STAFF,Hero_Skill_Image/STAFF,성역의 사슬,"공격 시 , <color=#FFFF00>{0}</color>%의 확률로 빛의 사슬이 천상에서 내려와 전방의 적들을 꿰뚫습니다. 주변 모든 적에게 플레이어 공격력 <color=#FFFF00>{1}</color>배의 데미지를 가합니다."
9,CRI_DMG,Hero_Skill_Image/CRI_DMG,파열,"유물 장착 시, 플레이어의 크리티컬 데미지를 <color=#FFFF00>{1}</color>% 증가시킵니다. 이 효과는 전투 시작과 동시에 적용되며, 해제 시 원래 수치로 되돌아갑니다."
