Level,start_percent,effect_percent
0,6,2.25
1,6.2,2.5
2,6.4,2.75
3,6.6,3
4,6.8,3.25
5,7,3.5
6,7.2,3.75
7,7.4,4
8,7.6,4.25
9,7.8,4.5
10,8,4.75
11,8.2,5
12,8.4,5.25
13,8.6,5.5
14,8.8,5.75
15,9,6
16,9.2,6.25
17,9.4,6.5
18,9.6,6.75
19,9.8,7
20,10,7.25
21,10.2,7.5
22,10.4,7.75
23,10.6,8
24,10.8,8.25
25,11,8.5
26,11.2,8.75
27,11.4,9
28,11.6,9.25
29,11.8,9.5
30,12,9.75
31,12.2,10
32,12.4,10.25
33,12.6,10.5
34,12.8,10.75
35,13,11
36,13.2,11.25
37,13.4,11.5
38,13.6,11.75
39,13.8,12
40,14,12.25
41,14.2,12.5
42,14.4,12.75
43,14.6,13
44,14.8,13.25
45,15,13.5
46,15.2,13.75
47,15.4,14
48,15.6,14.25
49,15.8,14.5
50,16,14.75
51,16.2,15
52,16.4,15.25
53,16.6,15.5
54,16.8,15.75
55,17,16
56,17.2,16.25
57,17.4,16.5
58,17.6,16.75
59,17.8,17
60,18,17.25
61,18.2,17.5
62,18.4,17.75
63,18.6,18
64,18.8,18.25
65,19,18.5
66,19.2,18.75
67,19.4,19
68,19.6,19.25
69,19.8,19.5
70,20,19.75
71,20.2,20
72,20.4,20.25
73,20.6,20.5
74,20.8,20.75
75,21,21
76,21.2,21.25
77,21.4,21.5
78,21.6,21.75
79,21.8,22
80,22,22.25
81,22.2,22.5
82,22.4,22.75
83,22.6,23
84,22.8,23.25
85,23,23.5
86,23.2,23.75
87,23.4,24
88,23.6,24.25
89,23.8,24.5
90,24,24.75
91,24.2,25
92,24.4,25.25
93,24.6,25.5
94,24.8,25.75
95,25,26
96,25.2,26.25
97,25.4,26.5
98,25.6,26.75
99,25.8,27
100,26,27.25
101,26.2,27.5
102,26.4,27.75
103,26.6,28
104,26.8,28.25
105,27,28.5
106,27.2,28.75
107,27.4,29
108,27.6,29.25
109,27.8,29.5
110,28,29.75
111,28.2,30
112,28.4,30.25
113,28.6,30.5
114,28.8,30.75
115,29,31
116,29.2,31.25
117,29.4,31.5
118,29.6,31.75
119,29.8,32
120,30,32.25
121,30.2,32.5
122,30.4,32.75
123,30.6,33
124,30.8,33.25
125,31,33.5
126,31.2,33.75
127,31.4,34
128,31.6,34.25
129,31.8,34.5
130,32,34.75
131,32.2,35
132,32.4,35.25
133,32.6,35.5
134,32.8,35.75
135,33,36
136,33.2,36.25
137,33.4,36.5
138,33.6,36.75
139,33.8,37
140,34,37.25
141,34.2,37.5
142,34.4,37.75
143,34.6,38
144,34.8,38.25
145,35,38.5
146,35.2,38.75
147,35.4,39
148,35.6,39.25
149,35.8,39.5
150,36,39.75
151,36.2,40
152,36.4,40.25
153,36.6,40.5
154,36.8,40.75
155,37,41
156,37.2,41.25
157,37.4,41.5
158,37.6,41.75
159,37.8,42
160,38,42.25
161,38.2,42.5
162,38.4,42.75
163,38.6,43
164,38.8,43.25
165,39,43.5
166,39.2,43.75
167,39.4,44
168,39.6,44.25
169,39.8,44.5
170,40,44.75
171,40.2,45
172,40.4,45.25
173,40.6,45.5
174,40.8,45.75
175,41,46
176,41.2,46.25
177,41.4,46.5
178,41.6,46.75
179,41.8,47
180,42,47.25
181,42.2,47.5
182,42.4,47.75
183,42.6,48
184,42.8,48.25
185,43,48.5
186,43.2,48.75
187,43.4,49
188,43.6,49.25
189,43.8,49.5
190,44,49.75
191,44.2,50
192,44.4,50.25
193,44.6,50.5
194,44.8,50.75
195,45,51
196,45.2,51.25
197,45.4,51.5
198,45.6,51.75
199,45.8,52
200,46,52.25
201,46.2,52.5
202,46.4,52.75
203,46.6,53
204,46.8,53.25
205,47,53.5
206,47.2,53.75
207,47.4,54
208,47.6,54.25
209,47.8,54.5
210,48,54.75
211,48.2,55
212,48.4,55.25
213,48.6,55.5
214,48.8,55.75
215,49,56
216,49.2,56.25
217,49.4,56.5
218,49.6,56.75
219,49.8,57
220,50,57.25
221,50.2,57.5
222,50.4,57.75
223,50.6,58
224,50.8,58.25
225,51,58.5
226,51.2,58.75
227,51.4,59
228,51.6,59.25
229,51.8,59.5
230,52,59.75
231,52.2,60
232,52.4,60.25
233,52.6,60.5
234,52.8,60.75
235,53,61
236,53.2,61.25
237,53.4,61.5
238,53.6,61.75
239,53.8,62
240,54,62.25
241,54.2,62.5
242,54.4,62.75
243,54.6,63
244,54.8,63.25
245,55,63.5
246,55.2,63.75
247,55.4,64
248,55.6,64.25
